,provinsi,tahun,luas lahan
1,BALI,2011,26669000.0
2,BANTEN,2011,111622060.0
3,BENGKULU,2011,96755672.0
4,DAERAH ISTIMEWA YOGYAKARTA,2011,10415813.0
5,DKI JAKARTA,2011,6391800.0
6,GORONTALO,2011,57230971.0
7,JAMBI,2011,32328699.0
8,JAWA BARAT,2011,1293307500.0
9,JAWA TENGAH,2011,482545100.0
10,JAWA TIMUR,2011,1060007510.0
11,KALIMANTAN BARAT,2011,241655889.0
12,KALIMANTAN SELATAN,2011,155240868.0
13,KALIMANTAN TENGAH,2011,60253800.0
14,KALIMANTAN TIMUR,2011,1613047079.0
15,KALIMANTAN UTARA,2011,0.0
16,KEPULAUAN BANGKA BELITUNG,2011,5784800.0
17,KEPULAUAN RIAU,2011,53778380.0
18,LAMPUNG,2011,546976610.0
19,MALUKU,2011,467591700.0
20,MALUKU UTARA,2011,17560300.0
21,NUSA TENGGARA BARAT,2011,279817064.0
22,NUSA TENGGARA TIMUR,2011,79120000.0
23,PAPUA,2011,19520700.0
24,PAPUA BARAT,2011,4091000.0
25,RIAU,2011,63669640.0
26,SULAWESI BARAT,2011,218297350.0
27,SULAWESI SELATAN,2011,1605669015.0
28,SULAWESI TENGAH,2011,301711494.0
29,SULAWESI TENGGARA,2011,486150000.0
30,SULAWESI UTARA,2011,117305532.0
31,SUMATERA BARAT,2011,130930507.0
32,SUMATERA SELATAN,2011,614431153.0
33,SUMATERA UTARA,2011,205442000.0
34,ACEH,2012,552473814.0
35,BALI,2012,22636000.0
36,BANTEN,2012,162822096.0
37,BENGKULU,2012,77108300.0
38,DAERAH ISTIMEWA YOGYAKARTA,2012,9735177.0
39,DKI JAKARTA,2012,5329522.0
40,GORONTALO,2012,54833570.0
41,JAMBI,2012,29861313.0
42,JAWA BARAT,2012,1291694991.0
43,JAWA TENGAH,2012,517823100.0
44,JAWA TIMUR,2012,1057150775.0
45,KALIMANTAN BARAT,2012,250297080.0
46,KALIMANTAN SELATAN,2012,158262206.0
47,KALIMANTAN TENGAH,2012,67272800.0
48,KALIMANTAN TIMUR,2012,1780961583.0
49,KALIMANTAN UTARA,2012,0.0
50,KEPULAUAN BANGKA BELITUNG,2012,5144500.0
51,KEPULAUAN RIAU,2012,69188581.0
52,LAMPUNG,2012,383340230.0
53,MALUKU,2012,504296460.0
54,MALUKU UTARA,2012,27877100.0
55,NUSA TENGGARA BARAT,2012,310793935.0
56,NUSA TENGGARA TIMUR,2012,85140000.0
57,PAPUA,2012,24375004.0
58,PAPUA BARAT,2012,17535284.0
59,RIAU,2012,31114030.0
60,SULAWESI BARAT,2012,226788064.0
61,SULAWESI SELATAN,2012,1591648236.0
62,SULAWESI TENGAH,2012,303648718.0
63,SULAWESI TENGGARA,2012,482945400.0
64,SULAWESI UTARA,2012,143684332.0
65,SUMATERA BARAT,2012,153683854.0
66,SUMATERA SELATAN,2012,646684465.0
67,SUMATERA UTARA,2012,209619800.0
68,ACEH,2013,555653500.0
69,BALI,2013,27598000.0
70,BANTEN,2013,167244030.0
71,BENGKULU,2013,87062200.0
72,DAERAH ISTIMEWA YOGYAKARTA,2013,11383432.0
73,DKI JAKARTA,2013,4118684.0
74,GORONTALO,2013,58897111.0
75,JAMBI,2013,28221500.0
76,JAWA BARAT,2013,1301096077.0
77,JAWA TENGAH,2013,400064099.0
78,JAWA TIMUR,2013,2301956738.0
79,KALIMANTAN BARAT,2013,269885246.0
80,KALIMANTAN SELATAN,2013,184441777.0
81,KALIMANTAN TENGAH,2013,66324745.0
82,KALIMANTAN TIMUR,2013,1733877670.0
83,KALIMANTAN UTARA,2013,0.0
84,KEPULAUAN BANGKA BELITUNG,2013,3409900.0
85,KEPULAUAN RIAU,2013,85902502.0
86,LAMPUNG,2013,527554968.0
87,MALUKU,2013,524456600.0
88,MALUKU UTARA,2013,19276443.0
89,NUSA TENGGARA BARAT,2013,269810078.0
90,NUSA TENGGARA TIMUR,2013,113219000.0
91,PAPUA,2013,23673273.0
92,PAPUA BARAT,2013,18238630.0
93,RIAU,2013,32729930.0
94,SULAWESI BARAT,2013,224518285.0
95,SULAWESI SELATAN,2013,1746525076.0
96,SULAWESI TENGAH,2013,346520004.0
97,SULAWESI TENGGARA,2013,493514600.0
98,SULAWESI UTARA,2013,159520700.0
99,SUMATERA BARAT,2013,158396022.0
100,SUMATERA SELATAN,2013,643685042.0
101,SUMATERA UTARA,2013,195591900.0
102,ACEH,2014,556477848.0
103,BALI,2014,20831000.0
104,BANTEN,2014,159605860.0
105,BENGKULU,2014,89538100.0
106,DAERAH ISTIMEWA YOGYAKARTA,2014,58543300.0
107,DKI JAKARTA,2014,4035814.0
108,GORONTALO,2014,84384018.0
109,JAMBI,2014,21933044.0
110,JAWA BARAT,2014,1293085373.0
111,JAWA TENGAH,2014,550488789.0
112,JAWA TIMUR,2014,2240441431.0
