,Jenis Usaha,Provinsi,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
0,BUDIDAYA,ACEH,BANDENG,2011,16746.8,251202000
1,BUDIDAYA,ACEH,BANDENG,2012,18492.3,295876800
2,BUDIDAYA,ACEH,BANDENG,2013,20530.0,315768921
3,BUDIDAYA,ACEH,BANDENG,2014,23914.1,373190273
4,BUDIDAYA,ACEH,BANDENG,2015,24930.75,393447645
5,BUDIDAYA,ACEH,BANDENG,2016,30537.0,586835465
6,BUDIDAYA,ACEH,BANDENG,2017,8708.84,147971866
7,BUDIDAYA,ACEH,BANDENG,2018,19805.32,441277765
8,BUDIDAYA,ACEH,BANDENG,2019,32723.14,630565000
9,BUDIDAYA,ACEH,BANDENG,2020,40259.88,849733071
10,BUDIDAYA,ACEH,BAWAL,2011,0.0,0
11,BUDIDAYA,ACEH,BAWAL,2012,0.0,0
12,BUDIDAYA,ACEH,BAWAL,2013,42.3,1057074
13,BUDIDAYA,ACEH,BAWAL,2014,260.38,4741950
14,BUDIDAYA,ACEH,BAWAL,2015,151.19,2961504
15,BUDIDAYA,ACEH,BAWAL,2016,0.0,0
16,BUDIDAYA,ACEH,BAWAL,2019,24.61,740488
17,BUDIDAYA,ACEH,BAWAL,2020,34.41,1038640
18,BUDIDAYA,ACEH,GABUS,2020,9.69,649080
19,BUDIDAYA,ACEH,GURAME,2011,584.5,14612500
20,BUDIDAYA,ACEH,GURAME,2012,568.5,25582500
21,BUDIDAYA,ACEH,GURAME,2013,605.5,19617000
22,BUDIDAYA,ACEH,GURAME,2014,686.2,20462880
23,BUDIDAYA,ACEH,GURAME,2015,351.1,15035000
24,BUDIDAYA,ACEH,GURAME,2016,101.3,3788500
25,BUDIDAYA,ACEH,GURAME,2017,537.56,21502240
26,BUDIDAYA,ACEH,GURAME,2018,42.94,2108744
27,BUDIDAYA,ACEH,GURAME,2019,349.42,10177740
28,BUDIDAYA,ACEH,GURAMI,2020,577.41,20175405
29,BUDIDAYA,ACEH,KACI-KACI,2020,157.99,9847440
30,BUDIDAYA,ACEH,KAKAP,2011,185.6,5568000
31,BUDIDAYA,ACEH,KAKAP,2012,240.8,8424500
32,BUDIDAYA,ACEH,KAKAP,2013,247.1,15699000
33,BUDIDAYA,ACEH,KAKAP,2014,131.4,8317500
34,BUDIDAYA,ACEH,KAKAP,2015,222.4,12851472
35,BUDIDAYA,ACEH,KAKAP,2016,305.15,16575785
36,BUDIDAYA,ACEH,KAKAP,2017,247.53,11902927
37,BUDIDAYA,ACEH,KAKAP,2018,654.67,42349360
38,BUDIDAYA,ACEH,KAKAP,2019,2622.91,148480295
39,BUDIDAYA,ACEH,KAKAP,2020,530.17,21588450
40,BUDIDAYA,ACEH,KEKERANGAN,2011,0.0,0
41,BUDIDAYA,ACEH,KEKERANGAN,2012,0.0,0
42,BUDIDAYA,ACEH,KEKERANGAN,2013,0.0,0
43,BUDIDAYA,ACEH,KEKERANGAN,2014,0.0,0
44,BUDIDAYA,ACEH,KEKERANGAN,2015,0.0,0
45,BUDIDAYA,ACEH,KEKERANGAN,2016,0.0,0
46,BUDIDAYA,ACEH,KEKERANGAN,2017,2.95,29540
47,BUDIDAYA,ACEH,KEKERANGAN,2018,0.3,3400
48,BUDIDAYA,ACEH,KEKERANGAN,2019,480.0,9600000
49,BUDIDAYA,ACEH,KEPITING,2020,0.87,60900
50,BUDIDAYA,ACEH,KERANG,2020,186.61,1306270
51,BUDIDAYA,ACEH,KERAPU,2011,1129.5,56900700
52,BUDIDAYA,ACEH,KERAPU,2012,682.6,35495200
53,BUDIDAYA,ACEH,KERAPU,2013,1431.1,85387916
54,BUDIDAYA,ACEH,KERAPU,2014,1063.2,58361800
55,BUDIDAYA,ACEH,KERAPU,2015,968.7,48945701
56,BUDIDAYA,ACEH,KERAPU,2016,1167.72,68046440
57,BUDIDAYA,ACEH,KERAPU,2017,258.75,35445021
58,BUDIDAYA,ACEH,KERAPU,2018,1354.89,54894750
59,BUDIDAYA,ACEH,KERAPU,2019,1389.51,75086700
60,BUDIDAYA,ACEH,KERAPU,2020,282.97,18105375
61,BUDIDAYA,ACEH,KUWE,2020,2.98,115500
62,BUDIDAYA,ACEH,LAINNYA,2011,668.45,15806793
63,BUDIDAYA,ACEH,LAINNYA,2012,2043.3,30640500
64,BUDIDAYA,ACEH,LAINNYA,2013,1858.8,31971327
65,BUDIDAYA,ACEH,LAINNYA,2014,1481.07,55784625
66,BUDIDAYA,ACEH,LAINNYA,2015,1335.9,43267499
67,BUDIDAYA,ACEH,LAINNYA,2016,583.43,13529487
68,BUDIDAYA,ACEH,LAINNYA,2017,8326.62,260740075
69,BUDIDAYA,ACEH,LAINNYA,2018,918.85,33440630
70,BUDIDAYA,ACEH,LAINNYA,2019,210.37,7616975
71,BUDIDAYA,ACEH,LELE,2011,1606.1,28106750
72,BUDIDAYA,ACEH,LELE,2012,3360.47,60488460
73,BUDIDAYA,ACEH,LELE,2013,3069.2,65353949
74,BUDIDAYA,ACEH,LELE,2014,5920.9,112596324
75,BUDIDAYA,ACEH,LELE,2015,5135.8,100956336
76,BUDIDAYA,ACEH,LELE,2016,6795.72,141062806
