,provinsi,tahun,jenis,jumlah RTP
1,BALI,2011,Budidaya,0
2,BANTEN,2011,Budidaya,0
3,BENGKULU,2011,Budidaya,0
4,DAERAH ISTIMEWA YOGYAKARTA,2011,Budidaya,0
5,DKI JAKARTA,2011,Budidaya,0
6,GORONTALO,2011,Budidaya,0
7,JAMBI,2011,Budidaya,0
8,JAWA BARAT,2011,Budidaya,0
9,JAWA TENGAH,2011,Budidaya,0
10,JAWA TIMUR,2011,Budidaya,0
11,KALIMANTAN BARAT,2011,Budidaya,0
12,KALIMANTAN SELATAN,2011,Budidaya,0
13,KALIMANTAN TENGAH,2011,Budidaya,0
14,KALIMANTAN TIMUR,2011,Budidaya,0
15,KALIMANTAN UTARA,2011,Budidaya,0
16,KEPULAUAN BANGKA BELITUNG,2011,Budidaya,0
17,KEPULAUAN RIAU,2011,Budidaya,0
18,LAMPUNG,2011,Budidaya,0
19,MALUKU,2011,Budidaya,0
20,MALUKU UTARA,2011,Budidaya,0
21,NUSA TENGGARA BARAT,2011,Budidaya,0
22,NUSA TENGGARA TIMUR,2011,Budidaya,0
23,PAPUA,2011,Budidaya,0
24,PAPUA BARAT,2011,Budidaya,0
25,RIAU,2011,Budidaya,0
26,SULAWESI BARAT,2011,Budidaya,0
27,SULAWESI SELATAN,2011,Budidaya,0
28,SULAWESI TENGAH,2011,Budidaya,0
29,SULAWESI TENGGARA,2011,Budidaya,0
30,SULAWESI UTARA,2011,Budidaya,0
31,SUMATERA BARAT,2011,Budidaya,0
32,SUMATERA SELATAN,2011,Budidaya,0
33,SUMATERA UTARA,2011,Budidaya,0
34,ACEH,2012,Budidaya,46641
35,BALI,2012,Budidaya,14107
36,BANTEN,2012,Budidaya,25187
37,BENGKULU,2012,Budidaya,12942
38,DAERAH ISTIMEWA YOGYAKARTA,2012,Budidaya,64101
39,DKI JAKARTA,2012,Budidaya,3081
40,GORONTALO,2012,Budidaya,6166
41,JAMBI,2012,Budidaya,22210
42,JAWA BARAT,2012,Budidaya,403195
43,JAWA TENGAH,2012,Budidaya,225859
44,JAWA TIMUR,2012,Budidaya,152219
45,KALIMANTAN BARAT,2012,Budidaya,33983
46,KALIMANTAN SELATAN,2012,Budidaya,14370
47,KALIMANTAN TENGAH,2012,Budidaya,22076
48,KALIMANTAN TIMUR,2012,Budidaya,46061
49,KALIMANTAN UTARA,2012,Budidaya,0
50,KEPULAUAN BANGKA BELITUNG,2012,Budidaya,2323
51,KEPULAUAN RIAU,2012,Budidaya,13384
52,LAMPUNG,2012,Budidaya,47183
53,MALUKU,2012,Budidaya,18290
54,MALUKU UTARA,2012,Budidaya,4825
55,NUSA TENGGARA BARAT,2012,Budidaya,36087
56,NUSA TENGGARA TIMUR,2012,Budidaya,31916
57,PAPUA,2012,Budidaya,5226
58,PAPUA BARAT,2012,Budidaya,4835
59,RIAU,2012,Budidaya,24434
60,SULAWESI BARAT,2012,Budidaya,22823
61,SULAWESI SELATAN,2012,Budidaya,105520
62,SULAWESI TENGAH,2012,Budidaya,23498
63,SULAWESI TENGGARA,2012,Budidaya,43536
64,SULAWESI UTARA,2012,Budidaya,15460
65,SUMATERA BARAT,2012,Budidaya,83692
66,SUMATERA SELATAN,2012,Budidaya,60272
67,SUMATERA UTARA,2012,Budidaya,34945
68,ACEH,2013,Budidaya,47340
69,BALI,2013,Budidaya,12527
70,BANTEN,2013,Budidaya,24843
71,BENGKULU,2013,Budidaya,15249
72,DAERAH ISTIMEWA YOGYAKARTA,2013,Budidaya,67497
73,DKI JAKARTA,2013,Budidaya,2739
74,GORONTALO,2013,Budidaya,5749
75,JAMBI,2013,Budidaya,18479
76,JAWA BARAT,2013,Budidaya,391007
77,JAWA TENGAH,2013,Budidaya,209106
78,JAWA TIMUR,2013,Budidaya,155706
79,KALIMANTAN BARAT,2013,Budidaya,36717
80,KALIMANTAN SELATAN,2013,Budidaya,14827
81,KALIMANTAN TENGAH,2013,Budidaya,20351
82,KALIMANTAN TIMUR,2013,Budidaya,47273
83,KALIMANTAN UTARA,2013,Budidaya,0
84,KEPULAUAN BANGKA BELITUNG,2013,Budidaya,2327
85,KEPULAUAN RIAU,2013,Budidaya,15172
86,LAMPUNG,2013,Budidaya,51024
87,MALUKU,2013,Budidaya,16408
88,MALUKU UTARA,2013,Budidaya,4421
89,NUSA TENGGARA BARAT,2013,Budidaya,35081
90,NUSA TENGGARA TIMUR,2013,Budidaya,37009
91,PAPUA,2013,Budidaya,4875
92,PAPUA BARAT,2013,Budidaya,4918
93,RIAU,2013,Budidaya,28192
94,SULAWESI BARAT,2013,Budidaya,22671
95,SULAWESI SELATAN,2013,Budidaya,108877
96,SULAWESI TENGAH,2013,Budidaya,26363
97,SULAWESI TENGGARA,2013,Budidaya,48187
98,SULAWESI UTARA,2013,Budidaya,16633
99,SUMATERA BARAT,2013,Budidaya,84947
100,SUMATERA SELATAN,2013,Budidaya,58754
101,SUMATERA UTARA,2013,Budidaya,32159
102,ACEH,2014,Budidaya,47649
103,BALI,2014,Budidaya,10879
104,BANTEN,2014,Budidaya,25169
105,BENGKULU,2014,Budidaya,17458
106,DAERAH ISTIMEWA YOGYAKARTA,2014,Budidaya,66976
107,DKI JAKARTA,2014,Budidaya,2698
108,GORONTALO,2014,Budidaya,6020
109,JAMBI,2014,Budidaya,14061
110,JAWA BARAT,2014,Budidaya,376142
111,JAWA TENGAH,2014,Budidaya,206853
112,JAWA TIMUR,2014,Budidaya,153671
113,KALIMANTAN BARAT,2014,Budidaya,36399
114,KALIMANTAN SELATAN,2014,Budidaya,15122
115,KALIMANTAN TENGAH,2014,Budidaya,20351
116,KALIMANTAN TIMUR,2014,Budidaya,49045
117,KALIMANTAN UTARA,2014,Budidaya,0
118,KEPULAUAN BANGKA BELITUNG,2014,Budidaya,2264
119,KEPULAUAN RIAU,2014,Budidaya,11985
120,LAMPUNG,2014,Budidaya,51964
121,MALUKU,2014,Budidaya,12418
122,MALUKU UTARA,2014,Budidaya,3955
123,NUSA TENGGARA BARAT,2014,Budidaya,34834
124,NUSA TENGGARA TIMUR,2014,Budidaya,38924
125,PAPUA,2014,Budidaya,4615
126,PAPUA BARAT,2014,Budidaya,3600
127,RIAU,2014,Budidaya,30964
128,SULAWESI BARAT,2014,Budidaya,24611
129,SULAWESI SELATAN,2014,Budidaya,111458
130,SULAWESI TENGAH,2014,Budidaya,24854
131,SULAWESI TENGGARA,2014,Budidaya,46259
132,SULAWESI UTARA,2014,Budidaya,19470
133,SUMATERA BARAT,2014,Budidaya,86026
134,SUMATERA SELATAN,2014,Budidaya,58255
135,SUMATERA UTARA,2014,Budidaya,34222
136,ACEH,2015,Budidaya,47274
137,BALI,2015,Budidaya,9744
138,BANTEN,2015,Budidaya,25550
139,BENGKULU,2015,Budidaya,20829
140,DAERAH ISTIMEWA YOGYAKARTA,2015,Budidaya,69806
141,DKI JAKARTA,2015,Budidaya,1382
142,GORONTALO,2015,Budidaya,6803
143,JAMBI,2015,Budidaya,14061
144,JAWA BARAT,2015,Budidaya,350737
145,JAWA TENGAH,2015,Budidaya,207218
146,JAWA TIMUR,2015,Budidaya,153181
147,KALIMANTAN BARAT,2015,Budidaya,42290
148,KALIMANTAN SELATAN,2015,Budidaya,14905
149,KALIMANTAN TENGAH,2015,Budidaya,20382
150,KALIMANTAN TIMUR,2015,Budidaya,38330
151,KALIMANTAN UTARA,2015,Budidaya,18546
152,KEPULAUAN BANGKA BELITUNG,2015,Budidaya,1953
153,KEPULAUAN RIAU,2015,Budidaya,14950
154,LAMPUNG,2015,Budidaya,52756
155,MALUKU,2015,Budidaya,14654
156,MALUKU UTARA,2015,Budidaya,3447
157,NUSA TENGGARA BARAT,2015,Budidaya,34236
158,NUSA TENGGARA TIMUR,2015,Budidaya,38979
159,PAPUA,2015,Budidaya,4832
160,PAPUA BARAT,2015,Budidaya,5085
161,RIAU,2015,Budidaya,30431
162,SULAWESI BARAT,2015,Budidaya,18130
163,SULAWESI SELATAN,2015,Budidaya,112088
164,SULAWESI TENGAH,2015,Budidaya,26705
165,SULAWESI TENGGARA,2015,Budidaya,29611
166,SULAWESI UTARA,2015,Budidaya,19981
167,SUMATERA BARAT,2015,Budidaya,86747
168,SUMATERA SELATAN,2015,Budidaya,69550
169,SUMATERA UTARA,2015,Budidaya,19331
170,ACEH,2016,Budidaya,48579
171,BALI,2016,Budidaya,10441
172,BANTEN,2016,Budidaya,20949
173,BENGKULU,2016,Budidaya,20622
174,DAERAH ISTIMEWA YOGYAKARTA,2016,Budidaya,59903
175,DKI JAKARTA,2016,Budidaya,2085
176,GORONTALO,2016,Budidaya,7228
177,JAMBI,2016,Budidaya,17844
178,JAWA BARAT,2016,Budidaya,336697
179,JAWA TENGAH,2016,Budidaya,217141
180,JAWA TIMUR,2016,Budidaya,153046
181,KALIMANTAN BARAT,2016,Budidaya,40453
182,KALIMANTAN SELATAN,2016,Budidaya,14905
183,KALIMANTAN TENGAH,2016,Budidaya,20418
184,KALIMANTAN TIMUR,2016,Budidaya,36497
185,KALIMANTAN UTARA,2016,Budidaya,19603
186,KEPULAUAN BANGKA BELITUNG,2016,Budidaya,1659
187,KEPULAUAN RIAU,2016,Budidaya,10226
188,LAMPUNG,2016,Budidaya,43552
189,MALUKU,2016,Budidaya,12660
190,MALUKU UTARA,2016,Budidaya,3731
191,NUSA TENGGARA BARAT,2016,Budidaya,35489
192,NUSA TENGGARA TIMUR,2016,Budidaya,37649
193,PAPUA,2016,Budidaya,4142
194,PAPUA BARAT,2016,Budidaya,4206
195,RIAU,2016,Budidaya,30671
196,SULAWESI BARAT,2016,Budidaya,22901
197,SULAWESI SELATAN,2016,Budidaya,106950
198,SULAWESI TENGAH,2016,Budidaya,26687
199,SULAWESI TENGGARA,2016,Budidaya,28888
200,SULAWESI UTARA,2016,Budidaya,19981
201,SUMATERA BARAT,2016,Budidaya,86582
202,SUMATERA SELATAN,2016,Budidaya,57980
203,SUMATERA UTARA,2016,Budidaya,36430
204,ACEH,2017,Budidaya,48579
205,BALI,2017,Budidaya,10441
206,BANTEN,2017,Budidaya,20949
207,BENGKULU,2017,Budidaya,20622
208,DAERAH ISTIMEWA YOGYAKARTA,2017,Budidaya,59903
209,DKI JAKARTA,2017,Budidaya,2085
210,GORONTALO,2017,Budidaya,7228
211,JAMBI,2017,Budidaya,17844
212,JAWA BARAT,2017,Budidaya,336697
213,JAWA TENGAH,2017,Budidaya,217141
214,JAWA TIMUR,2017,Budidaya,153046
215,KALIMANTAN BARAT,2017,Budidaya,40453
216,KALIMANTAN SELATAN,2017,Budidaya,14905
217,KALIMANTAN TENGAH,2017,Budidaya,20418
218,KALIMANTAN TIMUR,2017,Budidaya,36497
219,KALIMANTAN UTARA,2017,Budidaya,19603
220,KEPULAUAN BANGKA BELITUNG,2017,Budidaya,1659
221,KEPULAUAN RIAU,2017,Budidaya,10226
222,LAMPUNG,2017,Budidaya,43552
223,MALUKU,2017,Budidaya,12660
224,MALUKU UTARA,2017,Budidaya,3731
225,NUSA TENGGARA BARAT,2017,Budidaya,35489
226,NUSA TENGGARA TIMUR,2017,Budidaya,37649
227,PAPUA,2017,Budidaya,4142
228,PAPUA BARAT,2017,Budidaya,4206
229,RIAU,2017,Budidaya,30671
230,SULAWESI BARAT,2017,Budidaya,22901
